song_id,song_name,song_length,tempo,total_beats,average_beats,zcr_mean,zcr_var,zcr_std,cent_mean,cent_var,cent_std,rolloff_mean,rolloff_var,rolloff_std,chroma_mean,chroma_var,chroma_std,chroma_cqt_mean,chroma_cqt_var,chroma_cqt_std,chroma_cens_mean,chroma_cens_var,chroma_cens_std,mfccs_mean,mfccs_var,mfccs_std,mfcc_delta_mean,mfcc_delta_var,mfcc_delta_std,mel_mean,mel_var,mel_std,tonnetz_mean,tonnetz_var,tonnetz_std,spec_bw_mean,spec_bw_var,spec_bw_std,spec_con_mean,spec_con_var,spec_con_std,harmonic_mean,harmonic_var,harmonic_std,percussive_mean,percussive_var,percussive_std,genre
1,2 Brothers On The 4th Floor - Dreams (Radio Mix) 000,180.009796,135.99917763157896,34592.0,572.3849024110217,0.15889108539593255,0.006009235760162244,0.07696758898610859,3211.2535438613795,705786.0865151094,837.2760257407872,6723.602211948996,2275479.5270973817,1433.7155206782516,0.6720837652683258,0.0393702145665884,0.19808019697666168,0.5750687234072018,0.0712078861919469,0.2667974999008088,0.27010125833969045,0.010369575889266576,0.10151543328139673,0.8068771133548579,452.25537109375,20.751792907714844,-0.003752540942514315,3.3907487392425537,1.836763679981232,4.115401625633241,1052.5222778320312,32.30434894561768,-0.004960380582061971,0.003669991807134454,0.06012219991644644,2806.6871819663465,252349.8546641639,450.15944343688375,20.057286616548595,44.81771841445213,6.690354261493468,-1.2892473364445325e-06,0.008161555044353008,0.0903412699699402,-3.7171826988924295e-05,0.006317110033705832,0.07917746901512146,dance
2,2 Brothers On The 4th Floor - Dreams (Radio Mix) 001,127.50367299999999,135.99917763157896,37227.75,595.1924512055109,0.15741633838898547,0.005634505128493685,0.07354131085502266,3173.0654046262603,633164.1681946878,785.899123679484,6594.970676347888,2012543.799185491,1377.1649985700785,0.6613318175077438,0.04063697904348373,0.2012882940471173,0.5725053822625374,0.0698862729384223,0.2642515723486937,0.27006088686390506,0.010391487273933782,0.10162769469200984,0.3610817079606932,423.54505157470703,20.25787353515625,-0.0029526794533012435,3.3653692603111267,1.830494314432144,3.914931833744049,1007.0303802490234,31.15913152694702,-0.006582489591924553,0.003921552333833034,0.06220060882527671,2782.3854871969397,185557.52284007828,397.3881139802152,20.404965076898552,46.97122502169889,6.849608863912184,-8.521472153688592e-06,0.007825484033674002,0.08833353407680987,-3.879119685734622e-05,0.005988154618535191,0.07663641404360533,dance
3,2 Unlimited - No Limit,30.015759999999997,137.5102796052632,38868.0,605.9511038215518,0.14996897014564314,0.005079749832727104,0.0695302046605584,3050.5256968960302,584682.2748771927,753.7400494784024,6308.884159625294,1994630.3256639428,1379.0748503289465,0.6742820858955383,0.03831788897514343,0.1951137870550156,0.5591736001326506,0.07043675072337784,0.2653043790736316,0.2672156414466384,0.011889581857112502,0.10804684508799904,0.4332204608013853,432.19637451171883,20.527417373657226,0.00045849872985854746,3.377460479736328,1.834575152397156,4.399438524246216,1249.1623901367188,34.34577751159668,-0.007259521993550038,0.003883487273952197,0.06197724118630385,2700.576666606213,198550.70641292343,418.01512458429085,20.13941132250345,48.299950155070206,6.94413033944708,-6.320135594251042e-06,0.008333443850278855,0.09102883487939836,3.630080900620669e-05,0.006816808739677072,0.0814401276409626,techno
4,2Pac - Brenda's Got A Baby,234.0,137.34250974327804,40260.28571428572,613.984860121417,0.14074380133662942,0.006097570440576584,0.07592681022386323,2952.6239383563843,742660.2543067401,840.1874184749144,6201.69480778464,2216727.5587486327,1459.7679757034714,0.6628526704651969,0.04033955612352917,0.20023966048445024,0.548347380493423,0.0703236641251213,0.26510776430388405,0.2664754358188279,0.012287697850145787,0.10994670510075663,0.7156793239493189,438.4186357770648,20.74566786629813,2.1365047099867043e-05,4.048500946589878,1.9914680038179668,7.280624559947423,4889.470624651228,58.27676255362376,-0.0026347558428136963,0.004059009246293729,0.06329751148763554,2710.8566970789834,182437.26425176952,406.1550130798152,20.505571629825315,49.30619286146122,7.013556959793678,-4.4549620201093735e-06,0.013668705842324666,0.11189735893692287,2.8082864966043926e-05,0.010238912655040622,0.09688185208610127,hiphop
5,2Pac - California Love,285.266667,147.8375770225496,44171.77777777778,619.6232944072831,0.14310081943297956,0.005538239764402434,0.07229704737864813,2986.858604425247,664324.3813322601,792.0437954196864,6289.467286976027,2005815.035411602,1384.9856765371333,0.657933255036672,0.04136959215005239,0.20286190178659227,0.5331086441204715,0.07304334042858678,0.27004739794504545,0.2638471765046841,0.013664159938777173,0.11570800506323635,1.0531320189927809,401.79976399739576,19.811431672837998,-4.086562613439229e-05,4.447469764285618,2.085966467857361,8.929292387432524,5919.754821777344,67.000884797838,-0.002272101202518729,0.004361643202524515,0.06559206704036984,2741.4190211817577,162797.4500676789,384.0194912371745,20.47176264011967,46.45406058332098,6.797010939100348,2.708070579634144e-05,0.017587721968690555,0.1262141325407558,-9.487663596195893e-06,0.012738809739756916,0.10791776287886833,hiphop
6,2Pac - Dear Mama,280.133333,136.11335114161682,40662.63636363636,618.605755291103,0.13182787517078556,0.005174910870261246,0.06992125425232655,2866.728807916929,692601.9752173305,812.6253539013059,6103.938064541766,2095910.675939177,1420.6034099733356,0.6512691866267811,0.042675450782884254,0.206032933159308,0.5162607101229154,0.07470699808131033,0.2730737741845848,0.2603317179390594,0.01546052845165007,0.1225641326639506,1.4073171736566688,425.7177845348011,20.408267801458184,0.0001284414637749168,4.837011250582608,2.17299141667106,10.355546366084706,7034.317954323508,74.75277345830744,-0.0014105061386569312,0.005046558153896894,0.0700417104727064,2719.048101360987,160948.25362969792,385.133602957453,20.54487194805352,46.0866938791636,6.7730564711498005,2.284923148207244e-05,0.021609001708301632,0.1394918689673597,-1.320090500071687e-05,0.013487808681516484,0.1119016899981282,hiphop
7,2Pac - Hail Mary,312.84,140.0188391871373,42379.0,621.8572915141242,0.12300589164236915,0.004844446314406676,0.06759493278986675,2749.4098875083882,732300.2727833509,837.4734089658592,5872.136278439064,2404344.087568193,1513.5861938147063,0.6410221778429471,0.0450222990833796,0.21136066546806925,0.5085926880469154,0.07815795435763989,0.2790106526865691,0.2572704361226412,0.017006738632033697,0.12826507100070972,1.5129894945824232,493.4277578500601,21.794398821317234,0.0008094670215191749,5.795062065124513,2.349781797482417,11.450123218389662,9281.361436110275,85.87000612112192,-0.002095627606417188,0.0053576225552545475,0.07219634041342676,2670.0312127969105,181635.02355503532,409.412862847848,20.852891928506885,45.948902771260435,6.765260879176978,2.0370222375075947e-05,0.02480239320832949,0.14969775596490273,-1.313690764758436e-05,0.01508315217394668,0.1183851559001666,hiphop
8,2Pac - Heartz Of Men,281.026667,133.65434812885232,40596.2,623.9332597309204,0.11971878712898082,0.004593422346938226,0.06583644779951839,2723.0948418311336,730764.7602009773,838.9370026316855,5822.3117912147645,2463308.881247265,1536.668783718779,0.6436674038569132,0.04539191151658694,0.21225313246250152,0.501967524887098,0.07957981883908646,0.2815438391129631,0.25536469982121834,0.017976419936398196,0.1319221985354341,1.6597226867374653,496.94465128580737,21.92566324869792,0.00027840694723029933,6.4044912338256825,2.464991227785746,12.04588599205017,10198.521122233073,91.36983629862469,-0.003218753471346495,0.005493103983532532,0.07321111488564216,2659.4438718128517,188206.26675478145,418.89586225611913,20.67833344046626,45.99103039424721,6.770136434215777,2.749722799630187e-05,0.02651934362947941,0.15561880419651666,-2.1072957512539384e-05,0.015827413850153484,0.12176762148737907,hiphop
9,2Pac - How Do U Want It (feat. K-Ci & JoJo),288.56,128.78738437839908,39243.705882352944,625.7763488106019,0.11671221725400725,0.004242672266900658,0.06280441884377355,2692.508479118034,703375.5109934447,822.5615620567372,5767.791167797659,2400566.94747825,1517.8713237900336,0.6430281330557429,0.045500778976608716,0.2126014066093108,0.4990475321085072,0.07940010968414582,0.28128699810755065,0.2556706222602435,0.017836371153401778,0.13164192943016867,1.8436547806418009,487.9214154411765,21.753283220178947,-0.00014361732995466273,6.382045886095833,2.4672400741016163,12.812761657378251,11029.49060417624,96.07511711120605,-0.0022375980979194333,0.005457894723217599,0.0730713101181383,2654.4585967157223,182336.43927886875,412.9663104855486,20.584869753440163,45.54823267715536,6.738144270626098,2.2359432194588515e-05,0.027360458913094857,0.1588962345438845,-3.876231854145077e-05,0.0168074945343987,0.12572767212986946,hiphop
10,2Pac - How Long Will They Mourn Me,232.493333,133.36404128593605,40956.0,627.8494626444921,0.11336781085110445,0.0041698888580519785,0.062464454811656,2649.9899015686065,705028.3279094612,825.2058526591327,5689.568117974611,2418610.8005981883,1526.4022472926715,0.641112136213403,0.0459112485772685,0.21361762520514035,0.4938715662471297,0.07965038523561505,0.2817792656261644,0.25508083207416776,0.0181480220463288,0.13296237008105433,1.962582896359412,500.879539088199,22.06305574115953,-0.0002225753682739052,6.584788096578497,2.5106995795902454,12.96527341792458,10954.710034822165,96.65134259274132,-0.0003285852851666085,0.005824658820616732,0.0753329673959332,2634.043896892449,180794.8940688628,412.4324743118355,20.610176861276795,45.63053270153666,6.744998253345293,2.406664286225853e-05,0.028289417197045526,0.16218680417851394,-3.8847621585534254e-05,0.016447528522755755,0.12466422684098545,hiphop
11,2Pac - I Get Around,259.773333,129.77728735394214,39947.619047619046,630.2600155612187,0.11347346868178775,0.0043534661492720715,0.06387891079013168,2642.8941157365452,724942.551912396,837.3702152277858,5664.279313677393,2425875.767920637,1531.4601864297529,0.643632309777396,0.04564163372630165,0.21301993798641933,0.4963183935849499,0.07909051462041516,0.2808089605520783,0.2557714576626036,0.01780191146870471,0.13177073276160411,1.9478953515700552,501.6557936895462,22.11036754789807,-0.00015164154908797216,6.9244160652160645,2.5749744403929937,13.136840059643701,11560.884692964099,99.97863869439988,-0.0009772901632331633,0.005776870048613626,0.0750968029823055,2622.464981464324,180878.8663278868,413.7428966736787,20.54927108506298,46.426091339074,6.802325768090572,2.263139208006729e-05,0.028106085246517545,0.16220437238613766,-3.216721806676928e-05,0.01701275730461237,0.12702686109003564,hiphop
12,2Pac - Keep Ya Head Up,264.6,125.9821156275124,38740.739130434784,629.3941541375373,0.11296927728921903,0.004487119002788653,0.06499470800898507,2625.853995014887,754565.5614580066,854.3183389613222,5615.709428643292,2556737.2065713783,1570.6225745621825,0.6443246862162715,0.045697521418333054,0.21320400872956152,0.4953524732519046,0.07977573809652531,0.2820343744325117,0.2554911334689101,0.017954174048438142,0.1324716475525305,1.9488392245054809,514.5325715438179,22.404209219891094,-0.000186884240500386,7.025467686031176,2.59833650485329,13.088433400444362,11425.810013480808,99.98375660440195,-0.002765410517865057,0.005799538651665037,0.07532331243007337,2612.463829031491,187499.32669415555,421.8106915733698,20.584991839117343,46.4532912072709,6.805303515773655,1.962549676811112e-05,0.027388501588417137,0.1603519893858744,-2.855063794611297e-05,0.017505065588604495,0.12907493195456007,hiphop
13,2Pac - Life Goes On,302.773333,125.49560958753868,38637.72,630.4711665950789,0.11053689268535448,0.00430412990544795,0.06353952908652545,2596.8432117745942,746859.2680394155,850.8340229058017,5580.39711225061,2579515.088318349,1579.8196227560775,0.641737699508667,0.046139025390148164,0.21425243258476254,0.4941489075265253,0.08002943844894267,0.28251201933080483,0.2550870390586948,0.01816681942232839,0.13335870518352616,2.021572013455443,513.2463452148437,22.397708282470703,-7.61253631208092e-05,6.957122955322268,2.589188027381897,13.612140588760376,12091.015290527344,103.22393119812011,-0.0017718490398277726,0.005953721771754666,0.07632946654697079,2612.4499733549787,187419.69565234415,422.6133116473508,20.59446956737889,46.2411654376316,6.790338171081276,1.261862386456869e-05,0.0278032760322094,0.1619616600871086,-2.1362996603784273e-05,0.01864025921560824,0.13299140587449074,hiphop
14,2Pac - Temptations,302.533333,129.87151350698022,40060.25925925926,631.9188130650282,0.10855289212544994,0.004195980213260143,0.06278095514253018,2557.9547669218014,724319.973644236,836.8449892433383,5504.91401162244,2497905.987172054,1550.732221522582,0.6436205616703741,0.045888852190088335,0.21369650739210624,0.4962307853449884,0.08011390795900647,0.2826890094861008,0.2553295279201377,0.018049505412498827,0.1330191556878947,2.0303420275061703,518.8465598777489,22.53454173052753,-0.00025111402458235344,6.908068515636303,2.582463772208602,13.599930560147321,11798.618523491752,102.26170200771757,-0.0020032529149947072,0.005894888579488866,0.07599612750851605,2588.879087917015,181365.6171015152,415.0074980067748,20.520522199905574,47.20648679253213,6.857502836720265,3.068833044671414e-06,0.027590943569386447,0.16166153191416352,-1.3330109048318394e-05,0.01851976656837872,0.1327999450818256,hiphop
